"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"pob_activa";"resto_poblacion";"ed_superior_porcentaje"
"1";1;"Tarapacá";11;"Iquique";1101;"Iquique";2002;24426;149185;0,163729597479639
"2";1;"Tarapacá";11;"Iquique";1101;"Iquique";2003;23373;145629;0,160496879055683
"3";1;"Tarapacá";11;"Iquique";1101;"Iquique";2004;22830;144583;0,157902381331139
"4";1;"Tarapacá";11;"Iquique";1101;"Iquique";2005;22619;145165;0,155815795818551
"5";1;"Tarapacá";11;"Iquique";1101;"Iquique";2006;22668;146709;0,154509948264933
"6";1;"Tarapacá";11;"Iquique";1101;"Iquique";2007;22819;148890;0,15326079656122
"7";1;"Tarapacá";11;"Iquique";1101;"Iquique";2008;23116;151402;0,152679621141068
"8";1;"Tarapacá";11;"Iquique";1101;"Iquique";2009;23463;154063;0,152294840422425
"9";1;"Tarapacá";11;"Iquique";1101;"Iquique";2010;23821;156735;0,151982645867228
"10";1;"Tarapacá";11;"Iquique";1101;"Iquique";2011;24201;159730;0,151511926375759
"11";1;"Tarapacá";11;"Iquique";1101;"Iquique";2012;24472;162894;0,150232666642111
"12";1;"Tarapacá";11;"Iquique";1101;"Iquique";2013;24533;165904;0,14787467451056
"13";1;"Tarapacá";11;"Iquique";1101;"Iquique";2014;24423;169220;0,144326911712564
"14";1;"Tarapacá";11;"Iquique";1101;"Iquique";2015;24189;172539;0,140194390833377
"15";1;"Tarapacá";11;"Iquique";1101;"Iquique";2016;23855;175737;0,135742615385491
"16";1;"Tarapacá";11;"Iquique";1101;"Iquique";2017;23660;179231;0,132008413723072
"17";1;"Tarapacá";11;"Iquique";1101;"Iquique";2018;24294;185115;0,131237338951463
"18";1;"Tarapacá";11;"Iquique";1101;"Iquique";2019;24901;191613;0,129954648171053
"19";1;"Tarapacá";11;"Iquique";1101;"Iquique";2020;25345;198118;0,12792881010307
"20";1;"Tarapacá";11;"Iquique";1101;"Iquique";2021;25005;202122;0,123712411315938
"21";1;"Tarapacá";11;"Iquique";1101;"Iquique";2022;24329;204743;0,118827017285084
"22";1;"Tarapacá";11;"Iquique";1101;"Iquique";2023;23651;206944;0,114286956857894
"23";1;"Tarapacá";11;"Iquique";1101;"Iquique";2024;23165;208797;0,110945080628553
"24";1;"Tarapacá";11;"Iquique";1101;"Iquique";2025;22922;210306;0,108993561762384
"25";1;"Tarapacá";11;"Iquique";1101;"Iquique";2026;22938;211469;0,108469799355934
"26";1;"Tarapacá";11;"Iquique";1101;"Iquique";2027;23111;212381;0,108818585466685
"27";1;"Tarapacá";11;"Iquique";1101;"Iquique";2028;23384;213097;0,109734064768626
"28";1;"Tarapacá";11;"Iquique";1101;"Iquique";2029;23561;213818;0,110191845401229
"29";1;"Tarapacá";11;"Iquique";1101;"Iquique";2030;23723;214450;0,110622522732572
"30";1;"Tarapacá";11;"Iquique";1101;"Iquique";2031;23928;214974;0,111306483574758
"31";1;"Tarapacá";11;"Iquique";1101;"Iquique";2032;24044;215496;0,111575156847459
"32";1;"Tarapacá";11;"Iquique";1101;"Iquique";2033;23969;216120;0,110905978160281
"33";1;"Tarapacá";11;"Iquique";1101;"Iquique";2034;23556;216988;0,108558998654303
"34";1;"Tarapacá";11;"Iquique";1101;"Iquique";2035;23064;217841;0,105875386176156
"35";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2002;6244;47381;0,131782782127857
"36";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2003;7640;56166;0,136025353416658
"37";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2004;8727;62335;0,140001604235181
"38";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2005;9561;66565;0,143634041913919
"39";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2006;10281;69643;0,147624312565513
"40";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2007;10913;72192;0,151166334219858
"41";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2008;11550;74492;0,155050206733609
"42";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2009;12183;76694;0,158852061438965
"43";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2010;12813;78841;0,162516964523535
"44";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2011;13453;81164;0,165750825489133
"45";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2012;14051;83603;0,168068131526381
"46";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2013;14538;86028;0,168991491142419
"47";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2014;14932;88690;0,168361709324614
"48";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2015;15257;91437;0,16685805527303
"49";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2016;15528;94204;0,164833765020594
"50";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2017;15882;97216;0,163368169848585
"51";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2018;16572;101807;0,162778590863104
"52";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2019;17246;106904;0,161322307865
"53";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2020;17834;112165;0,158997904872286
"54";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2021;17921;116164;0,154273268826831
"55";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2022;17782;119481;0,148827010152242
"56";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2023;17640;122642;0,143833270820763
"57";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2024;17646;125648;0,140439959251242
"58";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2025;17831;128506;0,138756167027221
"59";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2026;18231;131185;0,138971681213553
"60";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2027;18758;133774;0,14022156771869
"61";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2028;19365;136316;0,14205962616274
"62";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2029;19924;138942;0,14339796461833
"63";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2030;20472;141608;0,144568103496978
"64";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2031;21054;144294;0,145910432866231
"65";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2032;21578;147077;0,146712266363877
"66";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2033;21956;150042;0,146332360272457
"67";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2034;22009;153368;0,143504512023369
"68";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2035;21988;156804;0,140226014642484
"69";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2002;1284;8549;0,150193005029828
"70";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2003;1303;8534;0,152683384110616
